name,place,location,latitude,longitude,year
"Schätze der Welt - Erbe der Menschheit (1995) {Lednice - Fürstenpracht und Gartenkunst, Tschechien (#8.9)}","Lednice, Czech Republic","Lednice, okres Břeclav, Jihomoravský kraj, Jihovýchod, 69144, Česko",48.8001413,16.8039515,1995
"Schätze der Welt - Erbe der Menschheit (1995) {Lednice - Fürstenpracht und Gartenkunst, Tschechien (#8.9)}","Valtice, Czech Republic","Valtice, okres Břeclav, Jihomoravský kraj, Jihovýchod, 69142, Česko",48.7409893,16.7556035,1995
"Schätze der Welt - Erbe der Menschheit (1995) {Prag - Eine Reise durch die Geschichte, Tschechien (#2.11)}","Prague, Czech Republic","Hlavní město Praha, Praha, Česko",50.0874654,14.4212535,1995
"Schätze der Welt - Erbe der Menschheit (1995) {Telc - Wo Häuser Sonntagskleider tragen, Tschechien (#8.10)}","Telc, Czech Republic","Telč, okres Jihlava, Kraj Vysočina, Jihovýchod, 58856, Česko",49.1847652,15.4524773,1995
"Stacey Dooley Investigates (2009) {Sex, Stags and Prague (#5.2)}","Prague, Czech Republic","Hlavní město Praha, Praha, Česko",50.0874654,14.4212535,2009
Starke Frauen (2007) {Die Masseurin von Karlsbad (#1.2)},"Karlovy Vary, Czech Republic","Karlovy Vary, okres Karlovy Vary, Karlovarský kraj, Severozápad, Česko",50.2304694,12.8710769,2007
TASTE With Kevin Longa: International Food Documentary Series (2018),Slovenia,Slovenija,46.149034549999996,14.626325753340627,2018
TASTE With Kevin Longa: International Food Documentary Series (2018),Czech Republic,Česko,49.8167003,15.4749544,2018
Tannbach (2015) {Der Morgen nach dem Krieg (#1.1)},"Kryry, Besno, Czech Republic","Kryry, Běsno, 2214, Běsno, Kryry, okres Louny, Ústecký kraj, Severozápad, 43986, Česko",50.1797,13.51048,2015
Team Bachstad (2012) {Team Bachstad 1:6 (#1.1)},"Klenová, Czech Republic","Klenová, okres Klatovy, Plzeňský kraj, Jihozápad, 34021, Česko",49.3334333,13.2331843,2012
Tengo algo que EnsayArte (2017) {10 TÉCNICAS ACTORALES que TODO ACTOR debe conocer #1 - El arte (nunca más) secreto del actor (#1.16)},"Brno, Czech Republic","Brno, okres Brno-město, Jihomoravský kraj, Jihovýchod, Česko",49.1922443,16.6113382,2017
Tengo algo que EnsayArte (2017) {10 TÉCNICAS ACTORALES que TODO ACTOR debe conocer #2 - El arte (nunca más) secreto del actor (#1.17)},"Brno, Czech Republic","Brno, okres Brno-město, Jihomoravský kraj, Jihovýchod, Česko",49.1922443,16.6113382,2017
Tengo algo que EnsayArte (2017) {10 beneficios del teatro que no sabías - Mitos y curiosidades #6 (#1.10)},"Brno, Czech Republic","Brno, okres Brno-město, Jihomoravský kraj, Jihovýchod, Česko",49.1922443,16.6113382,2017
Tengo algo que EnsayArte (2017) {CÓMO ser ACTOR: ¿hace falta estudiar? - El arte (nunca más) secreto del actor (#1.14)},"Brno, Czech Republic","Brno, okres Brno-město, Jihomoravský kraj, Jihovýchod, Česko",49.1922443,16.6113382,2017
Tengo algo que EnsayArte (2017) {Cómo hacer LEYES con TEATRO - Mitos y Curiosidades #7 (#1.11)},"Brno, Czech Republic","Brno, okres Brno-město, Jihomoravský kraj, Jihovýchod, Česko",49.1922443,16.6113382,2017
Tengo algo que EnsayArte (2017) {DANZA vs DANZA TEATRO: ¿Adivinas cuál es cuál? - Mitos y Curiosidades #8 (#1.13)},"Brno, Czech Republic","Brno, okres Brno-město, Jihomoravský kraj, Jihovýchod, Česko",49.1922443,16.6113382,2017
"Tengo algo que EnsayArte (2017) {Memoria Emocional (by ""El Método"") - El Piscolabis de Tespis (#1.9)}","Brno, Czech Republic","Brno, okres Brno-město, Jihomoravský kraj, Jihovýchod, Česko",49.1922443,16.6113382,2017
Tengo algo que EnsayArte (2017) {Nadie sabe lo que la dramaturgia - mitos y curiosidades #9 (#1.15)},"Brno, Czech Republic","Brno, okres Brno-město, Jihomoravský kraj, Jihovýchod, Česko",49.1922443,16.6113382,2017
Tengo algo que EnsayArte (2017) {SI MÁGICO (by Stanislavski) - El piscolabis de Tespis: La actuación (#1.8)},"Brno, Czech Republic","Brno, okres Brno-město, Jihomoravský kraj, Jihovýchod, Česko",49.1922443,16.6113382,2017
